Open,High,Low,Close,Volume,Dividends,Stock Splits
0.8960245030975297,0.9056076436996385,0.8768582218933121,0.8816497921943665,74605200,0.0,0
0.8816498047749447,0.8864413751443717,0.8720666640360906,0.8768582344055176,25069900,0.0,0
0.8816498139083624,0.9008160955846231,0.8768582434892973,0.8960245251655579,31909500,0.0,0
0.8960244757027204,0.9151907563209534,0.8912329055481621,0.9151907563209534,27728700,0.0,0
0.9151907563209534,0.9199823264755116,0.9056076160118368,0.9151907563209534,28553600,0.0,0
0.9151907940100564,0.9151907940100564,0.8960245126025236,0.9008160829544067,15754100,0.0,0
0.9008160481050936,0.9008160481050936,0.8864413376055494,0.8912329077720642,16294300,0.0,0
0.8912329547464928,0.9008160955846231,0.8912329547464928,0.8960245251655579,7630200,0.0,0
0.9008160829544067,0.9008160829544067,0.8912329422506403,0.9008160829544067,6361600,0.0,0
0.9008160481050936,0.9008160481050936,0.8912329077720642,0.8912329077720642,4535000,0.0,0
0.9008160580928227,0.9103991985321045,0.8864413474339001,0.9103991985321045,12729200,0.0,0
0.9103991985321045,0.9103991985321045,0.9008160580928227,0.9103991985321045,2341200,0.0,0
0.9103992110286678,0.9103992110286678,0.9056076407432557,0.9056076407432556,1084400,0.0,0
0.9056076160118368,0.9151907563209534,0.9008160458572786,0.9151907563209534,4086100,0.0,0
0.9151908033138529,0.919982373714447,0.9103992329132587,0.919982373714447,3129600,0.0,0
0.9151907563209534,0.9199823264755116,0.9103991861663951,0.9151907563209534,9901900,0.0,0
0.919982373714447,0.919982373714447,0.9103992329132587,0.919982373714447,2847700,0.0,0
0.9151907563209534,0.9151907563209534,0.9056076160118368,0.9151907563209534,4697200,0.0,0
0.9151907563209534,0.9151907563209534,0.9103991861663951,0.9151907563209534,2999900,0.0,0
0.9151908033138529,0.919982373714447,0.9103992329132587,0.919982373714447,5688300,0.0,0
0.9199823389713863,0.9199823389713863,0.9056076283124637,0.9103991985321045,3999700,0.0,0
0.9103991985321045,0.9103991985321045,0.9056076283124637,0.9103991985321045,1764000,0.0,0
0.9103991985321045,0.9103991985321045,0.9056076283124637,0.9103991985321045,656500,0.0,0
0.9103992236581732,0.9103992236581732,0.9008160829544067,0.9008160829544067,3596000,0.0,0
0.9056076660036881,0.9056076660036881,0.8960245251655579,0.8960245251655579,5519700,0.0,0
0.8960245126025236,0.9008160829544067,0.8960245126025236,0.9008160829544067,1176800,0.0,0
0.8960245030975297,0.9008160733985842,0.8816497921943665,0.8816497921943665,7079700,0.0,0
0.8864413624954209,0.8864413624954209,0.8768582218933121,0.8816497921943665,5082900,0.0,0
0.8816497797497943,0.8912329202166361,0.8816497797497943,0.8864413499832153,3490800,0.0,0
0.8864413499832152,0.8864413499832152,0.8816497797497943,0.8864413499832153,301100,0.0,0
0.8864413499832152,0.8864413499832152,0.8816497797497943,0.8864413499832153,1573800,0.0,0
0.8864413624954209,0.8864413624954209,0.8816497921943665,0.8816497921943665,1683100,0.0,0
0.8864413499832152,0.8864413499832152,0.8816497797497943,0.8864413499832153,1180200,0.0,0
0.8864413499832152,0.8864413499832152,0.8816497797497943,0.8864413499832153,1168900,0.0,0
0.8816497921943665,0.8864413624954209,0.8720666515922577,0.8816497921943665,4249910,0.0,0
0.8816497921943665,0.8816497921943665,0.8768582218933121,0.8816497921943665,1302900,0.0,0
0.8816497921943665,0.8864413624954209,0.8768582218933121,0.8816497921943665,810000,0.0,0
0.8816498047749447,0.8864413751443717,0.8720666640360906,0.8768582344055176,1579100,0.0,0
0.8768582218933121,0.8816497921943665,0.8720666515922577,0.8816497921943665,3555400,0.0,0
0.8768582218933121,0.8864413624954209,0.8768582218933121,0.8816497921943665,3490000,0.0,0
0.8864413376055494,0.8960244779385789,0.8816497674390348,0.8912329077720642,4499400,0.0,0
0.8960245251655579,0.8960245251655579,0.8912329547464928,0.8960245251655579,450400,0.0,0
0.8912329547464928,0.9008160955846231,0.8912329547464928,0.8960245251655579,1190700,0.0,0
0.8960244779385789,0.9008160481050936,0.8912329077720642,0.8912329077720642,2764600,0.0,0
0.8912329202166361,0.8960244904500572,0.8864413499832152,0.8864413499832153,4210900,0.0,0
0.8864413624954209,0.8864413624954209,0.8768582218933121,0.8816497921943665,1368000,0.0,0
0.8864413376055494,0.8912329077720642,0.8816497674390348,0.8912329077720642,5678500,0.0,0
0.8912329077720642,0.8960244779385789,0.8912329077720642,0.8912329077720642,2577300,0.0,0
0.8960245001724313,0.9056076407432557,0.8960245001724313,0.9056076407432556,4317200,0.0,0
0.9056076660036881,0.9056076660036881,0.8960245251655579,0.8960245251655579,3230500,0.0,0
0.9008160829544067,0.9008160829544067,0.8960245126025236,0.9008160829544067,1490000,0.0,0
0.9008160481050936,0.9008160481050936,0.8912329077720642,0.8912329077720642,2195700,0.0,0
0.8960244779385789,0.8960244779385789,0.8864413376055494,0.8912329077720642,2520000,0.0,0
0.8912329077720642,0.8912329077720642,0.8864413376055494,0.8912329077720642,1869400,0.0,0
0.8912329077720642,0.8912329077720642,0.8816497674390348,0.8912329077720642,5623900,0.0,0
0.8864413499832152,0.8912329202166361,0.8816497797497943,0.8864413499832153,1877800,0.0,0
0.8912329077720642,0.8912329077720642,0.8864413376055494,0.8912329077720642,1282800,0.0,0
0.8912329077720642,0.8912329077720642,0.8864413376055494,0.8912329077720642,568300,0.0,0
0.8864413499832152,0.8912329202166361,0.8816497797497943,0.8864413499832153,1684800,0.0,0
0.8864413499832152,0.8864413499832152,0.8864413499832152,0.8864413499832153,0,0.0,0
